이슈키,이슈유형,부모이슈,상태,고객사,제목,이슈본문,댓글작성자,댓글내용,생성일,완료일,담당자
AS-69,하위 작업,AS-7,해야 할 일,미분류,SDK 신규기능 개발,카테고리: 구현 업무 설명: SDK 신규기능 개발 실행빈도: 분기별 1회 소요시간: 4h 사용 프로그램: android studio / xcode 데이터 소스: SDK 소스코드 결과물 형태: aar 파일 / APK 파일 자동화 여부: X 작성자: 이우석프로세스: SDK 신규 기능 요구사항 확인 → 기능 설계 → 개발 브랜치 생성 → 코드 구현 → 에뮬레이터·실기기 테스트 → 코드 리뷰 → 배포 준비,N/A,댓글 없음,2026-03-16T20:10:45.393+0900,,이우석
AS-70,하위 작업,AS-7,해야 할 일,미분류,Mobile OS 정책 관련 SDK 대응 개발,카테고리: 구현 업무 설명: 신규 Mobile OS 영향도 파악 및 SDK 수정 실행빈도: 분기별 1회 소요시간: 4h 사용 프로그램: android studio / xcode 데이터 소스: SDK 소스코드 결과물 형태: aar 파일 / APK 파일 자동화 여부: X 작성자: 이우석프로세스: 신규 Mobile OS 정책 조사 결과 확인 → SDK 영향 항목 특정 → 수정 범위 결정 → 수정 브랜치 생성 → 코드 수정 → 실기기·에뮬레이터 테스트 → 리뷰 및 배포 준비,N/A,댓글 없음,2026-03-16T20:10:46.911+0900,,이우석
AS-71,하위 작업,AS-7,해야 할 일,미분류,Mobile 샘플 앱 개발,카테고리: 구현  업무 설명: SDK를 적용한 Mobile 샘플 앱 개발 실행빈도: 분기별 1회 소요시간: 24h 사용 프로그램: android studio / xcode 데이터 소스: 개발 요청사항 결과물 형태: aar 파일 / APK 파일 자동화 여부: X 작성자: 이우석프로세스: SDK 적용 시나리오 정의 → 샘플 앱 프로젝트 생성 → SDK 연동 코드 작성 → 주요 기능 동작 확인 → 코드 정리 및 주석 작성 → 고객사 배포용 샘플 앱 패키징,N/A,댓글 없음,2026-03-16T20:10:48.491+0900,,이우석
AS-72,하위 작업,AS-7,해야 할 일,미분류,연동 로직 개발,"카테고리: 구현  업무 설명: 외부 시스템 연동 로직 구현 실행빈도: 월 2~3회 소요시간: 6시간 사용 프로그램: IntelliJ, Git 데이터 소스: 인터페이스 설계 결과물 형태: 연동 코드 자동화 여부: X 작성자: 신지원프로세스: 연동 대상 외부 시스템 API 명세 확인 → 인증 방식 파악 → 연동 코드 구현(요청 구성·응답 파싱·예외 처리) → 로컬 연동 테스트 수행 → 오류 수정 → 개발 서버에서 연동 확인",N/A,댓글 없음,2026-03-16T20:10:50.067+0900,,신지원
AS-73,하위 작업,AS-7,해야 할 일,미분류,기존 기능 수정 및 개선,"카테고리: 구현  업무 설명: 운영 중 불편사항, 성능 이슈, 정책 변경에 따른 기존 기능 수정 및 리팩토링 실행빈도: 수시 소요시간: 6시간 사용 프로그램: IDE, Git 데이터 소스: 이슈 티켓, 기존 소스코드 결과물 형태: 변경 내역서 자동화 여부: X 작성자: 윤주명프로세스: 수정·개선 요청 내용 확인 → 현재 코드 분석 및 원인 파악 → 수정 범위 결정 → 개발 브랜치 생성 후 코드 수정·리팩토링 → 단위 테스트 수행 → 코드 리뷰 → 개발 서버 배포 및 확인",N/A,댓글 없음,2026-03-16T20:10:51.687+0900,,윤주명
AS-74,하위 작업,AS-7,해야 할 일,미분류,DB 쿼리 작성 및 최적화,"카테고리: 구현  업무 설명: 신규 기능에 필요한 SQL 작성 및 기존 쿼리 성능 분석·튜닝 실행빈도: 프로젝트 발생시 소요시간: 3시간 사용 프로그램: SQL Developer, DBeaver, Oracle 데이터 소스: 테이블 설계서, 실행 계획 결과물 형태: 튜닝 결과서 자동화 여부: X 작성자: 윤주명프로세스: 신규 기능 요구사항 확인 → 필요 데이터 및 테이블 파악 → SQL 작성 → 로컬 또는 개발 DB에서 실행 테스트 → 실행 계획(EXPLAIN) 분석 → 인덱스 활용·조인 방식 최적화 → 최종 쿼리 확정",N/A,댓글 없음,2026-03-16T20:10:53.221+0900,,윤주명
AS-75,하위 작업,AS-7,해야 할 일,미분류,수동 기능 테스트 준비,카테고리: 테스트  업무 설명: 테스트를 위해 테스트 데이터 및 발송 조건 준비 실행빈도: 수시 소요시간: 40분 사용 프로그램: 솔루션 시스템 데이터 소스: DB 데이터 결과물 형태: 테스트 데이터 자동화 여부: X 작성자: 류한경프로세스: 테스트 시나리오 확인 → 필요 테스트 데이터 목록 작성 → DB에 테스트 데이터 삽입 또는 스크립트 실행 → 발송 조건(수신자·채널·템플릿) 설정 → 테스트 환경 구성 완료 확인 → 테스트 실행 단계로 전달,N/A,댓글 없음,2026-03-16T20:10:54.959+0900,,류한경
AS-76,하위 작업,AS-7,해야 할 일,미분류,이메일 발송 수동 테스트,카테고리: 테스트  업무 설명: 이메일 발송 트리거 실행 후 기능 정상 동작 여부 확인 실행빈도: 수시 소요시간: 1시간 사용 프로그램: 솔루션 시스템 데이터 소스: 테스트 발송 데이터 결과물 형태: 발송 결과 자동화 여부: X 작성자: 류한경프로세스: 테스트 이메일 수신자 계정 준비 → 이메일 발송 API 또는 TMS 콘솔에서 발송 트리거 실행 → 발송 요청 응답 코드 확인 → 수신 계정에서 메일 도착 여부 확인 → 발송 로그 확인 → 결과 기록,N/A,댓글 없음,2026-03-16T20:10:56.882+0900,,류한경
AS-77,하위 작업,AS-7,해야 할 일,미분류,알림톡 발송 수동 테스트,카테고리: 테스트  업무 설명: 알림톡 발송 기능 테스트 수행 실행빈도: 수시 소요시간: 1시간 사용 프로그램: 솔루션 시스템 데이터 소스: 테스트 발송 데이터 결과물 형태: 발송 결과 자동화 여부: X 작성자: 류한경프로세스: 테스트 알림톡 수신 계정 준비 → TMS 콘솔 또는 API로 알림톡 발송 실행 → 카카오 API 응답 코드 확인 → 수신 단말에서 알림톡 수신 여부 확인 → 발송 로그 확인 → 결과 기록,N/A,댓글 없음,2026-03-16T20:10:58.472+0900,,류한경
AS-78,하위 작업,AS-7,해야 할 일,미분류,푸시/문자 발송 수동 테스트,"카테고리: 테스트  업무 설명: Push, SMS 발송 기능 수동 실행 후 결과 확인 실행빈도: 수시 소요시간: 1시간 사용 프로그램: 솔루션 시스템 데이터 소스: 테스트 발송 데이터 결과물 형태: 발송 결과 자동화 여부: X 작성자: 류한경프로세스: 테스트 수신 단말·번호 준비 → TMS 콘솔 또는 API로 푸시/SMS 발송 실행 → 발송 요청 응답 코드 확인 → 수신 단말에서 수신 여부 확인 → 발송 로그 확인 → 결과 기록",N/A,댓글 없음,2026-03-16T20:11:00.065+0900,,류한경
AS-79,하위 작업,AS-7,해야 할 일,미분류,발송 로그 검증,"카테고리: 테스트  업무 설명: 발송 이후 서버 로그 및 처리 로그 확인 실행빈도: 수시 소요시간: 40분 사용 프로그램: SSH, 로그뷰어 데이터 소스: 서버 로그 결과물 형태: 검증 결과 자동화 여부: X 작성자: 류한경프로세스: 발송 실행 직후 서버 로그 파일 또는 로그 수집 시스템 접속 → 발송 요청·처리·완료 단계별 로그 추적 → 오류 로그 존재 여부 확인 → 처리 흐름 이상 여부 판단 → 검증 결과 기록",N/A,댓글 없음,2026-03-16T20:11:01.708+0900,,류한경
AS-80,하위 작업,AS-7,해야 할 일,미분류,발송 결과 수신 확인,카테고리: 테스트  업무 설명: 실제 메일 수신 여부 및 메시지 수신 상태 확인 실행빈도: 수시 소요시간: 30분 사용 프로그램: 메일 클라이언트 데이터 소스: 발송 결과 결과물 형태: 수신 확인 결과 자동화 여부: X 작성자: 류한경프로세스: 발송 완료 후 수신 테스트 계정 확인 → 메일 수신함·문자·푸시 알림 도달 여부 확인 → 내용·형식 정상 여부 검토 → 미수신 시 발송 로그 재확인 → 결과 기록 및 이슈 여부 판단,N/A,댓글 없음,2026-03-16T20:11:03.231+0900,,류한경
AS-81,하위 작업,AS-7,해야 할 일,미분류,단위 테스트 수행,"카테고리: 테스트  업무 설명: 개발 완료 기능에 대한 단위 테스트 케이스 작성 및 수행, 경계값·예외 상황 포함 전수 검증 후 결과 정리 실행빈도: 프로젝트 발생시 소요시간: 6시간 사용 프로그램: 솔루션 시스템 데이터 소스: 테스트 데이터 결과물 형태: 검증 결과 자동화 여부: X 작성자: 류한경, 신지원, 윤주명, 장재인프로세스: 개발 완료 기능 목록 확인 → 기능별 테스트 케이스 작성(정상·경계·예외 케이스 포함) → 테스트 데이터 준비 → 테스트 실행 → 결과 기록 → 실패 케이스 버그 등록 → 수정 후 재테스트",N/A,댓글 없음,2026-03-16T20:11:04.908+0900,,"류한경, 신지원, 윤주명, 장재인"
AS-82,하위 작업,AS-7,해야 할 일,미분류,통합 테스트 수행,"카테고리: 테스트  업무 설명: 시스템 간 연동, 전체 기능, E2E 기반 통합 테스트 수행, 결함 처리 및 재테스트 포함 실행빈도: 프로젝트 발생시 소요시간: 8시간 사용 프로그램: 솔루션 시스템 데이터 소스: 연동 시스템 데이터 결과물 형태: 연동 테스트 결과 자동화 여부: X 작성자: 류한경, 신지원, 윤주명, 장재인프로세스: 통합 테스트 시나리오 확인 → 시스템 간 연동 환경 구성 → E2E 흐름 테스트 실행 → 결함 발생 시 버그 등록 및 수정 요청 → 수정 완료 후 재테스트 → 전체 결과 정리",N/A,댓글 없음,2026-03-16T20:11:06.405+0900,,"류한경, 신지원, 윤주명, 장재인"
AS-83,하위 작업,AS-7,해야 할 일,미분류,SDK 테스트,카테고리: 테스트  업무 설명: SDK 수정 후 동작확인을 실제 테스트 실행빈도: 월 1회 소요시간: 2h 사용 프로그램: android studio 데이터 소스: Android SDK 결과물 형태: 테스트 결과 도출 자동화 여부: X 작성자: 이우석프로세스: SDK 수정 완료 확인 → 테스트 시나리오 구성(정상 동작·예외 케이스) → 에뮬레이터 및 실기기에서 테스트 실행 → 결과 기록 → 이상 발견 시 수정 후 재테스트 → 최종 테스트 결과 정리,N/A,댓글 없음,2026-03-16T20:11:07.806+0900,,이우석
AS-84,하위 작업,AS-7,해야 할 일,미분류,대량 발송 성능 테스트,카테고리: 테스트  업무 설명: 대량 발송 성능 시나리오 기반 테스트 수행 실행빈도: 가끈 소요시간: 6시간 사용 프로그램: 솔루션 시스템 데이터 소스: 테스트 데이터 결과물 형태: 테스트 결과 자동화 여부: X 작성자: 류한경프로세스: 대량 발송 테스트 시나리오 수립(발송 건수·채널·시간대 설정) → 테스트 데이터 준비 → 테스트 환경 구성 → 발송 실행 → 처리 속도·성공률·큐 적체 여부 모니터링 → 결과 기록 및 보고,N/A,댓글 없음,2026-03-16T20:11:09.318+0900,,류한경
AS-85,하위 작업,AS-7,해야 할 일,미분류,테스트 이슈 정리 및 보고,"카테고리: 테스트  업무 설명: 테스트 수행 중 발견된 이슈 정리 및 담당자 공유 실행빈도: 프로젝트 발생시 소요시간: 1시간 사용 프로그램: 문서도구, 메일 데이터 소스: 테스트 결과 결과물 형태: 이슈 리스트 자동화 여부: X 작성자: 류한경프로세스: 테스트 수행 중 발견된 이슈 목록 취합 → 이슈 유형·심각도 분류 → Jira에 이슈 등록 → 담당 개발자에게 배분 → 조치 완료 여부 추적 → 최종 이슈 현황 보고서 작성",N/A,댓글 없음,2026-03-16T20:11:10.928+0900,,류한경
AS-86,하위 작업,AS-7,해야 할 일,미분류,요구사항 추적 관리,카테고리: 산출물 업무 설명: 요구사항과 설계 산출물 간 정합성 검토 실행빈도: 단계별 3회 소요시간: 8시간 내외 사용 프로그램: Excel 데이터 소스: 전체 산출물 데이터 결과물 형태: 요구사항 추적표 (Excel) 자동화 여부: X 작성자: 이경환프로세스: 요구사항 목록과 설계 산출물 목록 대조 → 요구사항별 반영된 설계 산출물 매핑 → 누락 또는 불일치 항목 식별 → 수정 요청 및 반영 → 최종 추적 매트릭스 완성 및 저장,N/A,댓글 없음,2026-03-16T20:11:12.442+0900,,이경환
AS-87,하위 작업,AS-7,해야 할 일,미분류,이행 계획서 작성,"카테고리: 산출물 업무 설명: 시스템 전환 시나리오 및 담당자 지정 실행빈도: 이행 시 1회 소요시간: 3~5시간 내외 사용 프로그램: Word 데이터 소스: 기술 사양서, 작업 시간표 결과물 형태: 이행계획서 (Word) 자동화 여부: X 작성자: 이경환프로세스: 시스템 전환 시나리오 수립(단계별 전환 방법·롤백 기준) → 담당자·일정 지정 → 이행 전 체크리스트 구성 → 이행 계획서 양식에 기입 → 내부 검토 → 고객사 공유 및 확정",N/A,댓글 없음,2026-03-16T20:11:13.944+0900,,이경환
AS-88,하위 작업,AS-7,해야 할 일,미분류,변경심의 문서 작성,"카테고리: 산출물 업무 설명: 소스 변경에 따른 영향도 및 사유 보완 실행빈도: 이행 시 1회 소요시간: 4~8시간 내외 사용 프로그램: PPT 데이터 소스: 변경 요청서, 소스 코드 결과물 형태: 변경심의서 (PPT) 자동화 여부: X 작성자: 이경환프로세스: 소스 변경 내용 확인 → 변경 이유·영향 범위·리스크 기술 → 변경심의 문서 양식에 기입 → 팀장·PM 검토 요청 → 승인 후 변경 실행 → 결과 기록",N/A,댓글 없음,2026-03-16T20:11:15.668+0900,,이경환
AS-89,하위 작업,AS-7,해야 할 일,미분류,사용자 매뉴얼 작성,"카테고리: 산출물 업무 설명: 일반 사용자용 화면 조작 가이드 작성 실행빈도: 이행 시 1회 소요시간: 8~16시간 내외 사용 프로그램: Word 데이터 소스: 사용자 화면, UI 가이드 결과물 형태: 사용자 매뉴얼 (Word) 자동화 여부: X 작성자: 이경환프로세스: 사용자 화면 목록 기반 매뉴얼 목차 구성 → 화면별 조작 방법·주의 사항 기술 → 스크린샷 삽입 → 내부 검토 → 고객사 확인 요청 → 피드백 반영 → 최종본 저장 및 제출",N/A,댓글 없음,2026-03-16T20:11:17.394+0900,,이경환
AS-90,하위 작업,AS-7,해야 할 일,미분류,FAQ 리스트 작성,"카테고리: 산출물 업무 설명: 예상 질의 및 오류 메시지별 답변 구성 실행빈도: 이행 시 1회 소요시간: 2~4시간 내외 사용 프로그램: Excel 데이터 소스: 매뉴얼, 이슈 이력 결과물 형태: FAQ 리스트 (Excel) 자동화 여부: X 작성자: 이경환프로세스: 예상 질의 항목 수집(운영 이슈 이력·고객 문의 이력 기반) → 항목별 답변 작성 → 오류 메시지별 해결 방법 기술 → FAQ 목록 양식 작성 → 팀 검토 → 고객사 배포 및 내부 공유",N/A,댓글 없음,2026-03-16T20:11:19.251+0900,,이경환
AS-91,하위 작업,AS-7,해야 할 일,미분류,교육 교안 제작,"카테고리: 산출물 업무 설명: 사용자 교육용 슬라이드 및 시나리오 실행빈도: 이행 시 1회 소요시간: 4~8시간 내외 사용 프로그램: PPT 데이터 소스: 매뉴얼, 교육 계획 결과물 형태: 교육용 PPT (PPT) 자동화 여부: X 작성자: 이경환프로세스: 교육 대상·목적·범위 확인 → 목차 구성 → 화면 조작·주요 기능·운영 절차 내용 슬라이드 작성 → 실습 시나리오 포함 → 내부 검토 후 완성 → 교육 진행 시 활용",N/A,댓글 없음,2026-03-16T20:11:20.883+0900,,이경환
AS-92,하위 작업,AS-7,해야 할 일,미분류,요구사항 문서 분석 및 검토,"카테고리: 산출물 업무 설명: 프로젝트 요구사항 정의서 분석 및 검토, 기능/비기능 요구사항 파악 실행빈도: 프로젝트 발생시 소요시간: 4시간 사용 프로그램: 문서도구 데이터 소스: 요구사항 정의서 결과물 형태: 요구사항 분석 자동화 여부: O 작성자: 류한경, 신지원프로세스: 고객사로부터 요구사항 정의서 수령 → 문서 전체 검토하여 기능/비기능 요구사항 목록 파악 → 불명확 항목 표시 → 내부 팀 검토 회의 진행 → 추가 확인 필요 항목 정리 → 고객사에 확인 요청",N/A,댓글 없음,2026-03-16T20:11:22.395+0900,,"류한경, 신지원"
AS-93,하위 작업,AS-7,해야 할 일,미분류,요구사항 목록 정리,카테고리: 산출물 업무 설명: 요구사항을 기능 단위로 정리 및 분류 실행빈도: 프로젝트 발생시 소요시간: 3시간 사용 프로그램: 문서도구 데이터 소스: 요구사항 문서 결과물 형태: 요구사항 목록 자동화 여부: X 작성자: 류한경프로세스: 요구사항 정의서 내 항목을 기능 단위로 분류 → 화면/API/배치/DB 등 유형별 그루핑 → 우선순위 부여 → 정리된 요구사항 목록 문서 작성 → 팀 공유 및 설계 단계로 전달,N/A,댓글 없음,2026-03-16T20:11:23.814+0900,,류한경
AS-94,하위 작업,AS-7,해야 할 일,미분류,SDK 개발 가이드 문서 작성,카테고리: 산출물 업무 설명: 고객사 SDK 적용을 돕기 위한 가이드 문서 작성 실행빈도: 분기별 1회 소요시간: 4h 사용 프로그램: macdown 데이터 소스: 추가 가이드 내용 결과물 형태: markdown 자동화 여부: X 작성자: 이우석프로세스: SDK 연동 절차 확인 → 가이드 목차 구성(설치·초기화·주요 API 사용법) → 코드 예시 포함하여 내용 작성 → 내부 검토 → 고객사 배포,N/A,댓글 없음,2026-03-16T20:11:25.337+0900,,이우석
AS-95,하위 작업,AS-7,해야 할 일,미분류,FAQ 업데이트,카테고리: 산출물 업무 설명: 자주 문의하는 질문 업데이트 후 내부 공유 실행빈도: 필요 시 소요시간: 1H 사용 프로그램: Confluence 데이터 소스: None 결과물 형태: confluence 문서 자동화 여부: X 작성자: 이윤형프로세스: 자주 접수되는 문의 이력 분석 → 신규 FAQ 항목 도출 → 항목별 답변 작성 → 내부 검토 → FAQ 문서 업데이트 → 팀 내 공유,N/A,댓글 없음,2026-03-16T20:11:26.982+0900,,이윤형
AS-96,하위 작업,AS-7,해야 할 일,미분류,기술 문서 작성,카테고리: 산출물 업무 설명: 개발 및 장애 대응 결과 문서 정리 실행빈도: 수시 소요시간: 24시간 사용 프로그램: 문서도구 데이터 소스: 작업 기록 결과물 형태: 기술 문서 자동화 여부: X 작성자: 류한경프로세스: 개발 완료 또는 장애 대응 완료 후 내용 정리 → 배경·원인·조치 내용·재발 방지 방안 항목 구성 → 기술 문서 양식에 작성 → 팀 검토 → 최종본 NAS 또는 Confluence에 저장,N/A,댓글 없음,2026-03-16T20:11:28.609+0900,,류한경
AS-97,하위 작업,AS-7,해야 할 일,미분류,배포 가이드 작성,"카테고리: 산출물 업무 설명: 비전문가용 상세 패치 명령어 및 주의사항 매뉴얼 작성 실행빈도: 패치 주기별 소요시간: 2시간 사용 프로그램: Word, Jira 데이터 소스: Jira 티켓, PR 이력 결과물 형태: 패치 가이드 자동화 여부: X 작성자: 장재인프로세스: 배포 대상 및 절차 확인 → 비전문가 기준 단계별 명령어 구성 → 주의 사항·롤백 방법 포함하여 가이드 문서 작성 → 내부 검토 → 고객사 또는 현장 담당자에게 전달",N/A,댓글 없음,2026-03-16T20:11:30.385+0900,,장재인
AS-98,하위 작업,AS-7,해야 할 일,미분류,작업 이력 정리,카테고리: 산출물 업무 설명: 개발 및 운영 작업 이력 기록 실행빈도: 수시 소요시간: 1시간 사용 프로그램: 문서도구 데이터 소스: 작업 기록 결과물 형태: 작업 이력 자동화 여부: X 작성자: 류한경프로세스: 수행한 개발·운영 작업 내용 확인 → 작업 일시·내용·결과 정리 → 이력 관리 양식(일지·Jira·Confluence 등)에 기록 → 관련 파일·링크 첨부 → 저장 및 공유,N/A,댓글 없음,2026-03-16T20:11:32.022+0900,,류한경
AS-99,하위 작업,AS-7,해야 할 일,미분류,고객사 산출물 작성 (테스트 결과서),"카테고리: 산출물 업무 설명: 단위·통합 테스트 수행 결과를 정리한 테스트 결과서 작성 및 제출 실행빈도: 프로젝트 발생시 소요시간: 2시간 사용 프로그램: MS Excel 데이터 소스: 테스트 케이스, 테스트 실행 결과 결과물 형태: 테스트 결과서  자동화 여부: 진행중 작성자: 윤주명프로세스: 단위·통합 테스트 수행 결과 취합 → 테스트 결과서 양식에 기입(시나리오·결과·이슈 현황) → 내부 검토 → 고객사 검토 요청 → 피드백 반영 → 최종본 제출",N/A,댓글 없음,2026-03-16T20:11:33.686+0900,,윤주명
AS-100,하위 작업,AS-7,해야 할 일,미분류,고객사 산출물 작성 (운영 매뉴얼),"카테고리: 산출물 업무 설명: 시스템 운영 절차, 장애 대응 방법 등을 정리한 운영 매뉴얼 작성 및 제출 실행빈도: 프로젝트 발생시 소요시간: 3시간 사용 프로그램: MS Word 데이터 소스: 시스템 설계서, 운영 기준 결과물 형태: 운영 매뉴얼 자동화 여부: 진행중 작성자: 윤주명프로세스: 운영 절차·장애 대응 방법·시스템 설정 정보 취합 → 매뉴얼 목차 구성 → 항목별 내용 작성 → 내부 검토 → 고객사 검토 요청 → 피드백 반영 → 최종본 제출",N/A,댓글 없음,2026-03-16T20:11:35.428+0900,,윤주명
AS-101,하위 작업,AS-7,해야 할 일,미분류,제안서 및 견적서 작성,"카테고리: 산출물 업무 설명: 신규 프로젝트 또는 추가 요건에 대한 제안서 및 기술 검토서 작성; 신규 프로젝트 또는 추가 요건에 대한 견적서 작성 실행빈도: 프로젝트 발생시 소요시간: 8시간 사용 프로그램: MS Word, MS PowerPoint 데이터 소스: 고객 RFP, 내부 기술 기준 결과물 형태: 제안서  자동화 여부: X 작성자: 윤주명프로세스: 신규 요건 내용 확인 → 기술 검토(가능 여부·범위·공수 산정) → 제안서 항목 구성(배경·목적·범위·추진 방안) 및 내용 작성 → 견적서 작성(항목별 단가·공수 산출) → 내부 검토 → 고객사 제출",N/A,댓글 없음,2026-03-16T20:11:37.186+0900,,윤주명
AS-102,하위 작업,AS-7,해야 할 일,미분류,API 명세서 작성,"카테고리: 산출물 업무 설명: 개발한 REST API 명세 문서(엔드포인트, 파라미터, 응답 형식 등) 작성 실행빈도: 프로젝트 발생시 소요시간: 2시간 사용 프로그램: Swagger, MS Excel, Notion 데이터 소스: 소스코드, 요구사항 정의서 결과물 형태: API 명세서  자동화 여부: X 작성자: 윤주명프로세스: 개발 완료 API 목록 확인 → 엔드포인트·HTTP 메서드·요청 파라미터·응답 형식·오류 코드 정리 → 명세서 양식(Swagger 또는 문서 형식)에 작성 → 팀 검토 → 최종본 저장 및 공유",N/A,댓글 없음,2026-03-16T20:11:38.865+0900,,윤주명
AS-103,하위 작업,AS-7,해야 할 일,미분류,프로젝트 일정 관리,"카테고리: 산출물 업무 설명: 전체 프로젝트 WBS 기준 진행률 추적, 일정 지연 위험 식별 및 조정 계획 수립 실행빈도: 프로젝트 발생시 소요시간: 2시간 사용 프로그램: MS Excel, MS Project, Jira 데이터 소스: WBS, 업무 현황 결과물 형태: 일정 현황표  자동화 여부: X 작성자: 윤주명프로세스: WBS 최신 진행률 업데이트 → 계획 대비 실제 진행률 비교 → 지연 항목 식별 → 지연 원인 파악 → 일정 조정 방안 수립 → 팀장·PM에게 보고 → 조정된 일정 WBS 반영",N/A,댓글 없음,2026-03-16T20:11:40.425+0900,,윤주명
AS-104,하위 작업,AS-7,해야 할 일,미분류,보안 취약점 점검 대응,"카테고리: 산출물 업무 설명: 정기 보안 점검 결과 수령 후 취약점 항목에 대한 원인 분석 및 조치 수행 실행빈도: 프로젝트 발생시 소요시간: 8시간 사용 프로그램: 보안 점검 툴, IDE 데이터 소스: 보안 점검 결과서 결과물 형태: 취약점 조치 보고서 자동화 여부: X 작성자: 윤주명프로세스: 보안 점검 결과 문서 수령 → 취약점 항목 목록화 → 항목별 원인 분석 및 조치 방안 검토 → 조치 실행(패치 적용·설정 변경·코드 수정) → 조치 결과 확인 → 결과 보고서 작성 및 제출",N/A,댓글 없음,2026-03-16T20:11:53.200+0900,,윤주명
AS-105,하위 작업,AS-7,해야 할 일,미분류,착수보고서 작성,"카테고리: 산출물 업무 설명: 프로젝트 배경, 범위, 추진 전략 수립 실행빈도: 착수 시 소요시간: 3~4시간 내외 사용 프로그램: PPT 데이터 소스: RFP, 고객사 제안서 결과물 형태: 착수보고서 (PPT) 자동화 여부: X 작성자: 이경환프로세스: 프로젝트 배경·목적·범위 확인 → 추진 전략 및 주요 마일스톤 정의 → 착수보고서 양식에 기입 → 내부 검토 → 수정 후 확정 → 고객사 착수 보고 미팅에서 발표 → 최종본 저장",N/A,댓글 없음,2026-03-16T20:11:54.691+0900,,이경환
AS-106,하위 작업,AS-7,해야 할 일,미분류,아키텍처 정의서,"카테고리: 산출물 업무 설명: 인프라 구성 및 서버/S/W 사양 상세화 실행빈도: 설계 기간 주 1회 소요시간: 20시간 내외 사용 프로그램: Excel 데이터 소스: 구성도 사진, 장비 견적서 결과물 형태: 아키텍처 정의서 (Word) 자동화 여부: X 작성자: 이경환프로세스: 인프라 구성 요건 확인 → 서버·네트워크·S/W 구성 설계 → 사양 상세화(CPU·메모리·스토리지·OS·미들웨어 버전) → 아키텍처 정의서 양식에 기입 → 팀 검토 → 고객사 확인 후 확정",N/A,댓글 없음,2026-03-16T20:11:57.474+0900,,이경환
AS-107,하위 작업,AS-7,해야 할 일,미분류,화면 정의서,"카테고리: 산출물 업무 설명: UI 컴포넌트 배치 및 화면 흐름 설계 실행빈도: 설계 기간 주 1회 소요시간: 10~16시간 내외 사용 프로그램: PPT 데이터 소스: 화면 스케치, 요구사항 결과물 형태: 화면 정의서 (PPT) 자동화 여부: X 작성자: 이경환프로세스: 기능 요구사항 기반 화면 목록 도출 → 각 화면별 UI 컴포넌트 배치 설계 → 화면 흐름(네비게이션) 정의 → 화면 정의서 양식에 기입 → 팀 검토 → 고객사 확인 요청 → 확정 후 저장",N/A,댓글 없음,2026-03-16T20:11:59.046+0900,,이경환
AS-108,하위 작업,AS-7,해야 할 일,미분류,인수인계 진행,카테고리: 기타 업무 설명: 최종 교육 및 인수인계 확인서 날인 실행빈도: 종료 시 1회 소요시간: 2~4시간 내외 사용 프로그램: Word 데이터 소스: 사용자/운영 매뉴얼 결과물 형태: 인수인계 확인서 (Word) 자동화 여부: X 작성자: 이경환프로세스: 인수인계 대상 항목 목록 확인 → 교육 일정 조율 → 최종 교육 진행(시스템 조작·운영 절차 안내) → 교육 완료 확인 → 인수인계 확인서 작성 및 서명 날인 → 최종 산출물 전달,N/A,댓글 없음,2026-03-16T20:12:00.648+0900,,이경환
AS-109,하위 작업,AS-7,해야 할 일,미분류,사내 개발계 패치,"카테고리: 기타 업무 설명: 빌드물 배포 및 엔진(Tomcat/Kafka 등) 파라미터 설정 실행빈도: 패치 주기별 소요시간: 1시간 사용 프로그램: FTP, SSH 데이터 소스: 개발 완료 빌드물 결과물 형태: 개발계 서버 환경 자동화 여부: X 작성자: 장재인프로세스: 빌드 산출물 확인 → 개발 서버 접속 → 기존 서비스 정지 → 빌드 파일 배포 → Tomcat/Kafka 등 엔진 파라미터 설정 → 서비스 재기동 → 정상 동작 확인 → 결과 기록",N/A,댓글 없음,2026-03-16T20:12:02.132+0900,,장재인
AS-110,하위 작업,AS-7,해야 할 일,미분류,DNS 설정 가이드 작성,"카테고리: 기타 업무 설명: 이메일 발송 DNS 설정 가이드 작성 및 전달; 고객 환경에 맞는 DNS 설정 가이드 작성 실행빈도: 수시 소요시간: 2시간 사용 프로그램: 메일, 문서 데이터 소스: 도메인 정보 결과물 형태: DNS 설정 가이드 자동화 여부: X 작성자: 류한경프로세스: 고객사 이메일 발송 환경 정보 수집(도메인·메일 서버 등) → SPF/DKIM/DMARC 설정 가이드 초안 작성 → 고객사 환경에 맞게 값 수정 → 내부 검토 → 고객사 담당자에게 가이드 전달 → 적용 확인 요청",N/A,댓글 없음,2026-03-16T20:12:03.814+0900,,류한경
AS-111,하위 작업,AS-7,해야 할 일,미분류,운영-사내 형상 비교,"카테고리: 기타 업무 설명: 고객사 운영 소스와 사내 최신 소스 간 차이 정밀 분석 실행빈도: 필요시 소요시간: 4~8시간 사용 프로그램: IntelliJ Diff 데이터 소스: 운영 소스, 사내 Git 결과물 형태: 형상 비교 자동화 여부: X 작성자: 장재인프로세스: 고객사 운영 환경 소스 코드 확인 → 사내 최신 소스 코드 확인 → diff 도구 또는 스크립트로 두 소스 비교 → 차이 항목 목록 정리(추가·삭제·수정 파일) → 원인 분석 및 동기화 방안 도출 → 팀 공유",N/A,댓글 없음,2026-03-16T20:12:05.226+0900,,장재인
